1696487887# #能打败全红婵的只有记者看的出来能打败全红婵的只有记者，采访比拿金牌都难！
1688296474# #离职后公司让我退多交的社保离职后公司让我退多交的社保
1688537893# #因为请假结果被公司辞退了因为请假结果被公司辞退了
1695040368# #为什么电影院都在商场顶楼突然发现电影院好像都在商场的顶楼，这是因为啥呢？
1691977718# #试新衣服的时候不要穿高跟鞋试新衣服的时候不要穿高跟鞋
1692578523# #为什么珠宝店都在商场一楼为什么珠宝店都在商场一楼
1694912980# #才知道烧麦竟然还有肉馅的平时吃的烧麦里面都是糯米馅的，今天才知道烧麦还有肉馅的
1696258197# #为什么四川人都喜欢吃折耳根我吃了就会吐，就没有不爱吃折耳根的四川人吗？难道味觉是后天养成的？
1688782021# #原来宠物店会记录宠物的性格哈哈哈哈，有个宠物的备注是又菜又爱搞偷袭
1692280992# #为什么酒店退房都不查房了为什么现在的酒店退房都不查房了，记得之前一直查的
1687564365# #真的建议大家不要轻易去采耳真的建议大家不要轻易去采耳
1695521142# #杭州西湖偶遇奥运体操冠军这是什么神仙运气，随便逛和西湖，都可以遇到，真的太羡慕能在杭州遇到奥运冠军的人了，我也想去！
1695259904# #北京人停车技术都这么高吗停车技术太牛了吧哈哈哈哈哈哈哈哈哈哈，走了好几个胡同看到n多车，不管大的小的，啥车型都能做到紧贴墙面停车，大为震惊
1691934811# #为什么狗狗不刷牙也没有蛀牙为什么狗狗不刷牙也没有蛀牙
1696646492# #全红婵把小乌龟送给了陈若琳全红婵这个举动太感动了！告诉把自己最喜欢的乌龟玩偶送给陈若琳！
1697205545# #吃完葡萄不要立刻喝水吃葡萄后立刻喝水，很可能会引起腹泻。因为葡萄与水、胃酸急剧氧化、发酵，加速肠道蠕动，就会产生腹泻。
1689851490# #原来长大后也写不了连笔字原来长大后也写不了连笔字
1692681156# #没想到外国人也过七夕节外国人的七夕节，街头都充满了浪漫气息
1693544925# #爱唱歌的人更易长寿唱歌是公布的科学长寿法的第一名，一般人不用达到专业水平，有空时随便唱唱歌也能使人心情愉悦、身心健康
1687868589# #给手镯贴膜结果被同事嘲笑了给手镯贴膜结果被同事嘲笑了
1696169721# #为什么刚长出来的牙齿是黄的这颗智齿只冒了头我就去医院拔了，为什么还没长出来就那么黄呢？
1689001932# #朋友圈里想发什么就发什么朋友圈里想发什么就发什么
1697934232# #反正过去十多年我都以为过夜叫露营，不过夜叫野炊，近几年发现只要在室外吃饭就叫露营偷笑
1693915762# #为什么猫猫特别喜欢伸懒腰为什么猫猫特别喜欢伸懒腰？
1687841306# #同事上完厕所一直不冲马桶同事上完厕所一直不冲马桶
1694828792# #干枯后的植物可以有多美干枯的植物依然有自己独特的美，拼凑一幅独一无二的植物美景
1694087494# #开学像是把家搬到学校一样这行李多的像是把家搬到学校里一样
1696206803# #没想到一箱猕猴桃同时熟了前天看还硬邦邦像石头一样，结果刚才摸了一下，一箱全都熟了，还好发现的及时，不然要烂掉了！！
1691032574# #再也不会和好朋友一起合租了再也不会和好朋友一起合租了
1688266749# #父母总是惦记我有多少钱父母总是惦记我有多少钱
1694175059# #竟然收到了流浪狗送的礼物今天我像往常一样去喂流浪的小修狗，结果他没有吃狗粮，反而是和我玩，把我往旁边的地方带。我一低头，就看到他换下来的小牙牙，好可爱
1701762542# #我把朋友圈不联系的人都删了我一般不会主动删人，但是朋友圈把我屏蔽的我会果断删除！
1702710117# #被长沙的跨年烟花震惊到了长沙的跨年烟花也太浪漫了吧！
1694739186# #长期喝百香果真的可以变白吗长期喝百香果真的可以变白吗？
1696772753# #重庆人非常喜欢吃花椒吗突然发现重庆的大部分饭菜里都有花椒，而且花椒的量还不少，重庆人都喜欢吃花椒吗？
1692630294# #饺子的绝配是什么呢你认为饺子的绝配是什么呢？
1689001499# #高铁上被一对情侣要求换位置高铁上被一对情侣要求换位置
1687268499# #建议下雨天就不要穿拖鞋了建议下雨天就不要穿拖鞋了
1698243452# #父母突然不催婚了以前每次回家，父母总是不断的催婚，可是今年回家，他们突然不催婚了。
1703048719# #被西安的兵马俑震惊到了在兵马俑的嘴唇上发现2200年前工匠的指纹，太震撼了！
1692974919# #为什么现在化妆的人越来越少了现在出门逛街啥的也不见几个化妆的。感觉素颜的特别多，就好奇现在化妆的人怎么越来越少了
1690421435# #科目三没考过感觉无法释怀真的绷不住了，模拟考试一点问题都没有，一到考试就出现各种问题
1695212504# #才知道石榴吃多了会口腔溃疡都说石榴上火，我这最近不停的吃石榴，今天已经开始智齿发炎，满嘴口腔溃疡，吃饭嘴巴都张不开了
1698243074# #重庆的路可以有多离谱重庆这路也太离谱了吧，来导航估计都会迷路
1699404485# #关于我有几十个手机壳这件事手机比我的衣服都多，一个手机几十个手机壳
1702369150# #西游记才是废话文学的鼻祖以前看西游记的时候怎么没发现允悲
1688118140# #每次要生活费都会有种负罪感每次要生活费都会有种负罪感
1697378655# #关于我蒸了一整个馒头这件事信心满满的蒸一锅馒头，把馒头揉好上锅后才发现没有煤气了，等灌煤气回来，也没看看锅里什么样，直接就开火蒸了，等到开锅后打开锅盖儿我才大吃一惊，居然一整锅...
1698243238# #只有北方的甘蔗是称斤卖的吗来南方发现甘蔗竟然都论根卖的，只有我们北方是称斤卖的吗？
1694150878# #为什么牛蛙要尽量少吃为什么牛蛙要尽量少吃？
