1690495205# #中国人早就总结出“话不要说的太满”的道理了公益救援在行动瞬间
1693434600# #相隔十年的闰土，你觉得区别在哪里呢？&amp;nbsp公益救援在行动生活
1695985205# #【村民将车横在路口堵住十余辆婚车其中原因令人意想不到】贵州黔南，视频中一辆白色小车横在路中央，将十余辆婚车堵在半路。据当地村民称，这条路当年是10户村民集资修的，而唯独这户人家没有出钱。所以村民堵在路口，要他将当年集资修路的钱补上，不然坚决不让通过。。。有网友认为堵得好，我有个同学
1693546205# #广西南宁，男子帮女友去超市买卫生巾，谁知道身后的一个女子看到后，大骂男子变态，说怎么会有男的买这个东西？男子顿时气不打一处来，质问女子为什么骂自己，要求女子道歉！可女子说：“我今天要是给你道歉，我就不是我爸妈养的！”。。莫先生的女友月事来了身体不舒服，莫先生就贴心地帮女友去超市
1691618405# #谁看了不说一句太真实了😤&amp;nbsp公益救援在行动
1703592000# #山下的女人是老虎，遇到了千万要躲开
1702432800# #健身所强化实验体
1701734400# #哈哈哈哈哈哈哈哈哈哈哈哈狠狠点了！&amp;nbsp公益救援在行动
1689633006# #晚上11点多，几名大姐拿着盆子，偷偷地来到了消防员住处，把一件件消防服都拿了出来，并随手扔在了地上，看着堆成小山的消防服，路人都感到莫名其妙，以为她们在偷衣服，还准备报警，但看到几名大姐随后的举动后，却纷纷为他们竖起了大拇指。。。原来几名大姐并不是偷衣服，而是为了帮消防员们洗衣服，
1701918000# #讨厌我的人有福了。
1690792200# #【俄罗斯男子和一块披萨结婚】俄罗斯一名22岁男子曾经举行了一场特殊婚礼，“新娘”是一块披萨。他说，“我爱这块披萨，因为它很忠心，不会背叛。”这名男子很开心找到了真爱。披萨店也很贴心地帮忙举行了婚礼，帮“新娘”别上头纱，并特制了一张精美的非官方结婚证书。公益救援在行动瞬间
1701010806# #房费太贵，终南山5万修炼者快跑光了，这些隐居者都是什么人？。。终南山是我国道教名山，又名太乙山，位于西安南50公里秦岭口，流泉飞瀑，风光秀美，被誉为“天下修行，终南为冠”。因姜子牙、老子、张良、王维、王重阳等在此隐居过被历史蒙上了灵气。。。实际上终南山就是座山，如今被列为4A景区，景点很
1696059000# #他是退休教师王坤森，每月6000多的退休金，本不缺钱。但85岁的他为了资助贫困儿上大学，每晚却要捡垃圾到凌晨3点。。。“我老了，找不到别的工作，就捡捡垃圾帮帮这些想读书的孩子们。”选深夜，是因为“白天有人捡，甚至以此为生，我不能抢了别人饭碗。”。。伟大的人总是“藏”在凡人中间，他们力量有限
1700386727# #TheShy加油！再回巅峰！！！S13总决赛WBG对站T1
1691532000# #六小龄童学生时代旧照，这颜值你打多少分？&nbsp;公益救援在行动
1699050600# #有这样三个姐姐，弟弟在寝室的地位要提高了doge公益救援在行动定格
1692695281# #【佟丽娅代言】伯希和户外抓绒冲锋衣23款女三合一男登山外套0112【包邮】。【现价】659元。【到手价】399元。七夕好物推荐长相思
1698624005# #这个击掌:raisedhand:可能会影响孩子的一生&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公益救援在行动定格
1697765405# #节约和小气的区别是什么？&amp;nbsp公益救援在行动
1698762606# #测试没赢过，实战没输过公益救援在行动定格
1698208205# #如果全球所有的冰雪都融化的话，海平面将会上升70米。山东将会变成山东岛，江苏全变成海了公益救援在行动定格
1701916205# #那就拜托啦，小纸条。&amp;nbsp公益救援在行动
1700069405# #被实用到了公益救援在行动定格
1697634000# #有一个外国女友是种怎样的体验？公益救援在行动定格
1693360800# #电影《教父》里有一句台词：“不要轻易去威胁他人，如果你的威胁无法兑现，你将失去对他人的话语权。”公益救援在行动
1691483405# #一位江西的网友的投稿。那边的彩礼真的有这么高吗？公益救援在行动瞬间
1703332805# #爸爸叫女儿“胖头”，萌娃发怒。&nbsp;
1700229600# #一组动图警示你：从已发生的事故中吸取教训，提高安全意识学会敬畏生命。公益救援在行动
1693386000# #为啥要上个好大学，这就是差距…&amp;nbsp公益救援在行动生活
1700713801# #一男子在公园征婚，想做上门女婿。。。他个人条件一般，目前月薪1万3，四十岁没有过婚前性行为，无车无房。。。看他对女方提的要求，也不算高，最重要的一点是，要求本地土著独生女，有一套2室以上的房子（可不写他的名字）。。。其它地方，他做了不少让步，可接受离异带女儿，可接受孩子随女方姓，还表示自
1701257406# #技术牛人，佩服！仔细看最后一勺！Lz土味食堂公益救援在行动定格
1699095605# #1976年，北京。教员逝世期间的报纸。鲜花&amp;nbsp公益救援在行动
1693101600# #“高考录取让我明白了天有绝人之路”笑cry笑cry&amp;nbsp公益救援在行动生活
1703498405# #狗：你都不知道当时多危险
1687862408# #超美伪娘！！我是单身，但是我是个男的.....公益救援在行动
1688911200# #杜江携嗯哼，周末约秦岚野餐，嗯哼看见漂亮阿姨就要抱抱偷笑公益救援在行动
1698904805# #💡：千万不能忽视的人体常识。出车祸后不管严不严重都建议去做一个全面检查。但还是希望大家永远不要用到这个常识单身狗。。公益救援在行动
1696039200# #拔丝、讲究允悲公益救援在行动定格
1690423504# #伯希和户外冲锋衣女23新款三合一摇粒绒防风防水外套男秋冬登山服【包邮】。【现价】659元。【券后价】449元。好物推荐带着微博去旅行长相思。
1699497000# #车子被卡出不来，女子竟想徒手抬车，幸好出现了万能的外卖小哥公益救援在行动定格
1703143800# #采访张艺兴片段，小伙子真的很真啊哈哈
1692831600# #我们小区有一个女人，她的丈夫背叛了她。她精心设计了一计，要房子不要孩子的计划。最后，她的丈夫被她送进了监狱，孩子的监护权又归她所有。公益救援在行动生活
1699187406# #侵华战争期间，日本人用中国小孩腿骨做成烟斗，看到这些照片，可以想象一下日本当年是有多么残忍，我们不能替他们原谅日本。。。只有国家强大，人民团结一心才不会受外来者侵害，中华民族的复兴是必然的，谁也阻挡不了加油公益救援在行动
1694388600# #对老外说，学中文有多难？&amp;nbsp公益救援在行动
1688288890# #我觉得皮卡干的相当漂亮
1697710681# #【双11加购】Ulike蓝宝石冰点air3非激光脱毛仪器女医用全身脱毛。【现价】2899元。【券后价】1999元。天猫双十一好物推荐骄阳伴我。
1687744808# #女人肚子是块神奇皮囊公益救援在行动
1696840921# #韩国zauo凉感修身防晒衣防紫外线原纱型防晒服薄款透气连帽外套女。【现价】358元。【券后价】209元。
1693306805# #一女孩，不想自己做饭，在业主群里发了个消息，希望周一周五能有做饭的业主，自带饭盒，25一餐，要求不放味精。公益救援在行动生活
1693503005# #中国历代王朝，涨知识了！&amp;nbsp公益救援在行动生活
1688974807# #艾特出你身边可以做到这样的人doge公益救援在行动
1700983800# #时隔20年的师生相聚份外感人公益救援在行动定格
1687106409# #太可爱了！军犬：谁还不是个宝宝啦？公益救援在行动
1694703605# #好奇一幅画如何证明皇后失贞？傻眼公益救援在行动
1702747805# #谁的副驾驶还没有一个小可爱呀，卧……槽
1703984405# #学霸的世界我们不懂！跪了跪了
1692482400# #小孩子都明白的道理，但是亲戚不懂。公益救援在行动生活
1702438200# #这到底是谁的责任
1698557400# #这场面令人窒息的尴尬公益救援在行动定格
1696654800# #看一次笑一次，根本停不下来。。。哈哈哈哈&nbsp;公益救援在行动定格
1703665805# #这吃播太硬核了
1698469205# #来自挖掘机老公的最高礼仪&amp;nbsp公益救援在行动定格
1698512406# #这也行？宝宝跟着爸爸去爬山看雾凇，下山时太累只好被拉着走公益救援在行动定格
1695400200# #电视剧都不敢这么演！江苏女子闲来无事，就整理老公的旧包。本想把包给扔了，突然心血来潮翻了一下包，没想翻出一套7年前买的房子和车位！当初这房子是抵工程款的，收据上写的是189678元，不知道7年过去涨了多少？女子还说，这情况在她家还有过一回！。。这扔的不是包，是一套房子和车位啊！这是多有钱，
1701534606# #西游记服化道……太惊艳了！&amp;nbsp公益救援在行动
1696516201# #这是哪家少爷出来体验生活了？公益救援在行动
1692937801# #和德国警察开玩笑的下场。。&amp;nbsp&amp;nbsp公益救援在行动
1692149400# #网友：“雷锋叔叔”应该改成“雷锋爷爷”！。。小学二年级语文课文《雷锋叔叔，你在哪里？》，课文中不宜再称“雷锋叔叔”，不恰当。。。雷锋生于1940年，1962年去世。。。如果雷锋现在还活着的话，今年就82岁高龄，对于我这个80后来说，都是爷爷辈的人，更不用说对于现在的孩子们了。。。课本也要与时俱进！（
1692334800# #成都金牛公安&amp;nbsp挡获一名犯罪嫌疑人。说实话，办案警员干这行这么久，也见过不少款式的纹身，但这么别致的还是第一次见。问其寓意，嫌疑人说：那个纹身师没文化，字纹错了就直接把对的、错的全纹满了。。。。。警员：哦，还以为是条没有头的带鱼……并不简单&amp;nbsp&amp;nbsp公益救援在行动生活
1702708200# #好家伙，一点事没有
1695747605# #人活着就要做一个有锋芒的善良人，。遇强则强，遇弱则弱，。遇善则善，遇恶则恶。。该翻脸时就翻脸，。才能让人看清你的底线。。。——稻盛和夫公益救援在行动定格
1703718005# #虾的诱惑
1692977406# #“没有付钱，不是嫖娼！”一男子在酒店与女子发生关系，民警查处后，认为他在嫖娼，遂对其作出行政拘留15天，罚款5000元的处罚。事发后，男子不服，将公安机关告上法庭，请求法院撤销处罚决定。。。（来源：山东济南历城区法院案例）。。35岁的男子白某，和于某是老朋友了，关系一直很好。事发这天，白某
1701702005# #路人帅哥不断被整，最后还是对美女下手了（6）公益救援在行动
1703908800# #主持人问张杰，谢娜和何炅同时掉进水里先救谁，这回答显出高智商
1702261806# #看到了吧，这就是礼让行人的后果！二哈
1693087200# #【一岁半孩子到医院做检查，才发现孩子舌头没了】。付先生一岁半的孩子突然摔倒在地上，导致后脑勺受伤也出现了抽搐的状况，去医院做核磁共振后，发现孩子舌头不见了。据孩子母亲说，做核磁共振之前医生看到孩子在抽搐，而且舌头被牙齿不停的咬着，做完后医生才告诉她舌头没有了，而且还会影响到以后的
