1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1703147445# #基金超话。我最近成天忽悠陆家嘴的小伙伴“组团骑车”，这不下周下半周上海气温回暖嘛，我赶忙在微信群里卖拐拉人头。。其中一位小伙伴说：“这么冷的天去骑车，这是组团吹冷风啊.......”。。俺不屑的表示：“咱们某A群众每天的冷风从上午9点半吹到下午3点都没抱怨，咱骑车的冷风再冷能冷得过某A？
1693670991# #中日韩年出生人口数趋势图统计时间1970年至2021年数据来源：Wind。。韩国出生人口数从1970年的100万到2021年的26万已经“膝盖斩”了，反倒是一直被我们诟病“出生率低”的日本，年新增人口数量还有1970年的41.96%，而我们2021年的出生人口数，只有1970年的38%了.........
1699326480# #臭小子买的书不错，孺子可教也。。后继有人啊偷笑偷笑偷笑。。不过要成为“怼人系博主”还得多吃点肉，否则块头不够怼起人来没气势嘻嘻嘻嘻嘻嘻
1702129885# #基金超话。刚发现今年我组合业绩跑赢沪深3005%以上，跑赢万得偏股混合型基金指数（885001）6%，跑赢中证偏股基金指数7%以上了。。然而有什么意义呢？不还是连续第二年给粉丝亏钱了？。。我衷心希望明年我的组合业绩能做到：。1、连续第6年跑赢沪深300和偏股基金指数。2、给粉丝挣一年钱，缓一缓。3、大
1696399143# #曼联又输了？做曼联球迷好苦，这么好的阵容，这么多的转会预算，竟然一直在输球..........
1699956430# #基金超话。尚正基金？还有这基金公司？。。中小基金公司太难了，连我这种专门研究基金的圈内人，都不知道名字的基金公司，你说怎么上规模。。这个世界上传播学的规律往往都是“幸存者偏差”，大家往往只记得那些大厂大公司，而在冰山底下活得很艰难的那些小公司，往往就是陪跑的角色。。这一点金元顺安基
1699322697# #反思了啊，所以取关了，还琢磨出了“实盘业绩是衡量投资认知水平唯一标准”这句话，帮助大家避坑
1691646847# #还剩178个笑cry笑cry笑cry
1700365242# #骑行超话。和儿子一起东太湖休闲骑……
1693376480# #基金超话。今天莫名有两个猎头打电话给我，基本都是10秒钟之内被我挂了电话。。忽悠40岁的人跳槽，那是谋财害命啊，更何况俺现在已经进入到了“创业”境界，再也不想回到“打工人”那条路上去了。。没有KPI，自己给自己做规划的生活多美好，除了穷以外其他没毛病.........
1690871740# #发布了头条文章：《股票基金的预期年化收益率应该是多少？》
1695974498# #基金超话。2023年年初至今偏债混合型FOF中位数收益率-0.66%，《稳中求进》组合如果转换为同类FOF，在同类181只基金中（含AC份额）排名第8，排名前5%分位数。。所以还是那句话，我好像从来没有一年能拿业绩第一，但过去几年面对都能跑前1/2的业绩，我还是挺满意的。。至于说我“业绩不好”的，要不youc
1690771380# #基金超话。《为什么我对基金投顾事业如此热爱？》。去年年末决定再次离开公募基金，去三方机构ALLIN我热爱的基金投顾事业时，很多粉丝小伙伴还是很不理解的——晓磊啊，公募基金这两年发展这么好，收入那么高，别人想进都进不去，你怎么还自己出来了？而且还是“二进二出”？。。之前在《“厌蠢症“
1690984474# #基金超话。明天，为期一天的（）市又要开演了……
1701597446# #时隔十几年，又想去听演唱会了，记得上一次去演唱会现场，还是十几年前在虹口听的周华健……
1695271388# #基金超话。其实这样的“过山车”曲线，在股评模拟盘里比比皆是，每年都有n个。。从净值2块钱到7毛清盘，人家只需要半年……。。闪电快手，说的就是这种吧
1703775210# #以香港的物价水平，去深圳消费就像到了一个大型拼多多一样，完全可以理解
1691215728# #对漂亮妹子要多些宽容，在我们这个文化环境里，勇敢自信且实力兼具的运动员，绝对是稀有物种.........
1695352906# #基金超话。呦，接受了一上午的采访，回头一看咱大A涨这么多了？
1695109218# #基金超话。别看我这个账号里边粉丝数量不算多，但看过我组合AUM的小伙伴都知道粉丝质量很高，这几十万粉丝里边有很多是基金同业、理财师等同行小伙伴。。最近干我们这行的应该都知道，基金口碑“缅北化”，客户“谈基金色变”，几乎所有聊股票聊基金的群现在都变成了“维权群”。很多混在我粉丝群的
1698476043# #基金超话。一看吓一跳，原来这周北向资金还是资金净流出的，只是流出金额变小了，才4点几个亿.....
1697172715# #【罕见！董事长试减肥药博瑞医药20CM涨停】有参与电话会议的投资者称，公司董事长12日在电话会议上表示，其亲自试药，体重从91公斤降到76公斤。。。要不董事长把这药推给我吧，感觉比我打司美格鲁肽的针好用啊..........
1699077034# #啊，我到现在自行车都还没有，都是共享单车。我装备就是骑行眼镜、骑行裤、头盔、面罩、码表、踏频器、心率带、夜灯，再加上GoPro的一些装备，不算上GoPro的话所有装备加起来不超过1000块
1695093878# #我始终觉得由规模带来的钱不是越多越好，而是“合适就好”，对于不合适的钱，我还真是会直接sayno.......
1692165427# #基金超话。调研提问：规模在舒适区间吗？。。范妍：当然管理20个亿是最舒服的，现在肯定不在舒适区，我现在管180个亿，你买1个股票费老鼻子劲了，它不会特别舒服的，但你得接受它。已经好几年，反正就这样了
1691143861# #瞄了一眼这成绩，看来我也有机会参加世界大学生运动会啊。此时40提醒我，这是女子项目...........好吧，性别不符合要求衰
1698413573# #基金超话。好久不做节目，最大的感受是。。如果现在还有股民认为财经节目有“股神嘉宾”，知道下个星期指数涨还是跌，按照什么节奏涨什么节奏跌，对所有板块个热点的未来股价都能头头是道，做出准确判断。。那么这个股民亏钱是活该……
1696314794# #基金超话。今天开始干每个季度的“惯例工作”——筛基金。。从Wind的普通股票型基金+增强指数型基金（我认为也是“主动偏股”）+偏股混合型基金口径来看，A、C份额合并计算已经有5446只主动偏股基金，这还没算上最难统计的那部分——灵活配置型基金。。一般来说我是把过去4个季度股票仓位在60%以上的灵
1703143729# #啊哈，下午花两个小时听了一家上市公司的八卦和狗血剧，挺有意思。。公司治理结构，确实在很大程度上影响了一家公司的发展..........
1692101635# #慢富适合3到5年不用的闲钱，滚动的新钱在吃不准的情况下可以考虑《稳中求进》
1703736807# #今年生病真有点多啊。。可能是因为今年工作强度比去年还大，扛不住了，要减负要减负……
1701327380# #基金超话。你们大概都不知道我在同业里还有个省流外号——基金公主……。。全称叫“基金行业公用主持人”。。比如去年我还在某公募的时候，就分别给鑫元、宏利、广发基金做过直播。。。光这周我今天下午4点就要给招商基金做个直播，明天去跑一趟摩根资产，这就是“基金公主”的一周啊二哈二哈二哈。
1703148401# #基金超话。基金投顾这个业务干了几年下来，我有点不成熟的想法。。比如说“千人千面”我现在越来越认为是一个伪命题。。从负债端的角度来看国内主要是两类负债端人群：。1、追求比银行理财更高的收益率，而且要保本保收益无风险的。2、追求一夜暴富，N年N倍的。。从规模上来看凡是迎合这两类负债端要求的产
1695267131# #基金超话。信股评，早返贫……
1694078064# #胡编也终于忍不住怼人了啊哈哈
1697887474# #骑行超话。80公里胜利在望
1701312729# #老人真的拼，前几个月还来回飞机为中美奔波来着……
1695186634# #基金超话。5cn，情商是硬伤.........。。哦对，我说的是我自己，不要误解........
1691569626# #上市第一天全流通的话可能第二天公司董事长就要换人了二哈
1700884538# #啊哈哈哈虽然这周有两天因为咽喉炎没骑车，但又瘦了两斤。。偷笑偷笑偷笑偷笑一切步入正轨的赶脚
1703775642# #觉得这只基金“业绩牛”的，我先提醒你一个数据，2022年东方区域发展亏损42.63%，跑输2022年万得偏股混合基金指数1倍以上
1695876139# #基金超话。有个相熟的FOF基金经理妹子今年一直和我叹苦经，说眼见着自己的管理规模从10个亿慢慢缩减成几个亿，再看公募行业大趋势向下，公募FOF更是负贝塔中的负贝塔，已然连续N个季度规模萎缩了，觉得自己的饭碗朝不保夕。。。本直男安慰道：“那是你还没来体会过基金投顾业务，等你做了基金投顾组
1699837201# #基金超话。【盘面波澜不惊，期待新增边际信息定价——“股债性价比”每周跟踪20231113】。（图1）上周美债到期收益率反弹，美元指数4连涨，北向重归“净流出”局面，单周净流出79亿元。（图2）从市值风格来看，A股风险偏好回升，成长股连续第3周跑赢价值，但若后续北向持续流出，那么成长阶段性跑赢
1697685465# #冷冷清清的卫星厅……
